worker_ID,bank_ID
4028,5720
4028,3298
4028,2808
4028,6902
4028,5280
4028,2155
4028,9539
4028,8726
4028,6417
4028,2372
4028,1428
4028,3338
4028,9142
4028,8300
4028,6694
4028,8670
4028,6354
4028,0828
4028,9022
4028,1157
4028,1359
4028,9251
4028,2009
4028,7562
4028,1990
4028,7638
4028,6368
4028,6347
4028,5631
4028,2862
4028,2802
4028,9938
4028,5249
4028,1466
4028,5011
4028,9104
4028,4395
4028,6026
4028,2113
4028,2376
4028,8245
4028,6831
4028,3411
4028,1965
4028,0879
4028,6518
4028,1736
4028,6284
4028,4733
4028,8641
4028,1158
4028,0957
4028,5694
4028,9859
4028,2905
4028,6917
4028,4399
4028,2854
4028,5811
4028,0869
4028,3237
4028,9892
4028,1441
4028,7381
4028,3202
4028,6733
4028,5196
4028,6672
4028,3396
4028,6844
4028,2082
4028,6576
4028,0527
4028,1303
4028,2888
4028,3084
4028,9169
4028,9761
4028,9215
4028,1039
4028,1875
4028,6610
4028,5869
4028,4303
4028,4027
4028,7290
4028,9961
4028,1551
4028,9592
4028,1871
4028,0100
4028,6887
4028,6087
4028,3118
4028,4004
4028,0925
4028,8060
4028,7697
4028,9767
4028,9222
4028,0277
4028,8738
4028,9433
4028,6753
4028,2905
4028,5376
4028,7803
4028,9220
4028,9132
4028,7844
4028,8537
4028,4271
4028,3496
4028,7030
4028,3857
4028,3722
4028,4842
4028,9320
4028,9024
4028,2768
4028,5919
4028,9806
4028,9672
4028,4443
4028,6713
4028,3606
4028,3203
4028,5199
4028,0212
4028,6668
4028,1077
4028,6622
4028,9827
4028,8769
4028,5666
4028,9425
4028,0179
4028,5555
4028,1315
4028,8199
4028,1391
4028,2440
4028,6221
4028,2028
4028,1436
4028,8597
4028,5742
4028,3361
4028,6275
4028,0978
4028,0669
4028,3459
4028,9957
4028,5693
4028,0492
4028,7364
4028,2784
4028,5376
4028,4635
4028,7584
4028,9176
4028,2348
4028,0800
4028,3171
4028,0103
4028,2389
4028,8669
4028,3805
4028,7699
4028,3785
4028,0816
4028,0751
4028,4525
4028,9916
4028,1800
4028,0687
4028,2112
4028,3255
4028,9875
4028,3069
4028,8028
4028,2361
4028,8386
4028,4566
4028,7812
4028,8128
4028,9692
4028,4620
4028,3961
4028,2905
4028,2568
4028,3632
4028,0877
4028,5231
4028,2370
4028,0758
4028,3155
4028,1533
4028,8600
4028,3718
SI9Y,5720
SI9Y,3298
SI9Y,2808
SI9Y,6902
SI9Y,5280
SI9Y,2155
SI9Y,9539
SI9Y,8726
SI9Y,6417
SI9Y,2372
SI9Y,1428
SI9Y,3338
SI9Y,9142
SI9Y,8300
SI9Y,6694
SI9Y,8670
SI9Y,6354
SI9Y,0828
SI9Y,9022
SI9Y,1157
SI9Y,1359
SI9Y,9251
SI9Y,2009
SI9Y,7562
SI9Y,1990
SI9Y,7638
SI9Y,6368
SI9Y,6347
SI9Y,5631
SI9Y,2862
SI9Y,2802
SI9Y,9938
SI9Y,5249
SI9Y,1466
SI9Y,5011
SI9Y,9104
SI9Y,4395
SI9Y,6026
SI9Y,2113
SI9Y,2376
SI9Y,8245
SI9Y,6831
SI9Y,3411
SI9Y,1965
SI9Y,0879
SI9Y,6518
SI9Y,1736
SI9Y,6284
SI9Y,4733
SI9Y,8641
SI9Y,1158
SI9Y,0957
SI9Y,5694
SI9Y,9859
SI9Y,2905
SI9Y,6917
SI9Y,4399
SI9Y,2854
SI9Y,5811
SI9Y,0869
SI9Y,3237
SI9Y,9892
SI9Y,1441
SI9Y,7381
SI9Y,3202
SI9Y,6733
SI9Y,5196
SI9Y,6672
SI9Y,3396
SI9Y,6844
SI9Y,2082
SI9Y,6576
SI9Y,0527
SI9Y,1303
SI9Y,2888
SI9Y,3084
SI9Y,9169
SI9Y,9761
SI9Y,9215
SI9Y,1039
SI9Y,1875
SI9Y,6610
SI9Y,5869
SI9Y,4303
SI9Y,4027
SI9Y,7290
SI9Y,9961
SI9Y,1551
SI9Y,9592
SI9Y,1871
SI9Y,0100
SI9Y,6887
SI9Y,6087
SI9Y,3118
SI9Y,4004
SI9Y,0925
SI9Y,8060
SI9Y,7697
SI9Y,9767
SI9Y,9222
SI9Y,0277
SI9Y,8738
SI9Y,9433
SI9Y,6753
SI9Y,2905
SI9Y,5376
SI9Y,7803
SI9Y,9220
SI9Y,9132
SI9Y,7844
SI9Y,8537
SI9Y,4271
SI9Y,3496
SI9Y,7030
SI9Y,3857
SI9Y,3722
SI9Y,4842
SI9Y,9320
SI9Y,9024
SI9Y,2768
SI9Y,5919
SI9Y,9806
SI9Y,9672
SI9Y,4443
SI9Y,6713
SI9Y,3606
SI9Y,3203
SI9Y,5199
SI9Y,0212
SI9Y,6668
SI9Y,1077
SI9Y,6622
SI9Y,9827
SI9Y,8769
